0,806.98,Inf,615.83,491.29,438.63,762.42,588.37,2616.6,464.53,1190.5,4655.5,257.01,605.61,308.01,1300,646.13,Inf,545,290.68,Inf,Inf,343.54,489.92,982.33,2517.1,627.92,4676.7,1283.1,179.39,649.39,1453.4,2766.7,2383.7,937.09,463.54,1749.8,459.93,Inf,539.52,839.63,1201.7,658.75,446.07,455.09,491.97,2283.1,8534,630.16,2418.2,532.58,546.22,2550.9,754.19,635.04,770.83,1554.3,Inf,1006.6,747.43,708.93,564.91,529.68,483.64,950.43,306.75,1549.9,4782.3,593.19,Inf,782.8,Inf,Inf,261.75,521.72,583.55,551.16,5090.3,962.26,336.48,Inf,142.65,1733.2,463.05,4794.8,368.94,4648,652.21,Inf,860.36,Inf,865.57,438.31,1059.2,289.47,Inf,Inf,692.92,542.88,338.27
806.98,0,179.18,216.95,613.75,383.24,Inf,1024.4,Inf,543.09,1353.9,4782.7,829.5,201.72,581.1,1499.2,310.87,867.23,530.32,1078.6,Inf,539.08,1099.4,973.48,182.67,2717.3,491.57,4785.5,1495.2,949.44,535.19,1752.4,2953.1,2586.7,Inf,1025.5,1930.9,1176.7,730.24,712.01,265.56,2006.4,480.16,1243.6,782.82,850.11,2473.5,Inf,649.98,2635.4,275.52,1307.6,2756.9,Inf,443.71,996.8,1735.4,739.5,515.49,1515.8,926.73,260.93,338.78,Inf,151.27,625.14,1785.3,4850,293.35,903.32,265.34,466.63,752.76,1067.5,378.09,Inf,1047.2,5177.2,1713.8,632.46,284.92,Inf,Inf,Inf,4916.8,Inf,4727.5,160.2,915.03,1663.6,1099.9,184.39,Inf,1841.3,826.07,1212.3,528.33,Inf,693.32,627.56
Inf,179.18,0,177.75,679.44,400.91,663.89,1058.9,2629.9,607.21,1179.8,Inf,828.58,221.89,592.15,1331.1,170.23,866.97,627.56,1068.7,Inf,406.29,1093.2,996.15,197.04,2543.6,325.61,4606.8,1330.1,939.38,364.26,1602.3,2777.4,2413.7,275.88,1039.9,Inf,1177,646.09,574.7,444.72,1994.8,627.1,Inf,816.56,884.46,2299.1,8503.1,756.04,2464.1,265.49,1303.9,2583.8,68.703,586.48,Inf,1561.9,772.4,Inf,1513,779.15,329.14,267.76,312.27,171.16,637.49,1621.9,Inf,203.97,908.41,86.177,621.28,897.63,Inf,466.9,1161.5,1073,Inf,1716.3,562.09,297.76,934.61,1740.7,Inf,4737.8,910.03,Inf,156.18,945.44,Inf,1127.9,72.224,1217.2,1837.1,828.9,1208.3,435.67,432.1,552.49,647.37
615.83,216.95,177.75,0,552.35,253.95,628.09,899.03,2638.2,Inf,1188.1,4633.8,653.2,131.42,Inf,1322.6,145.34,691.66,530.22,890.95,1822.2,346.03,915.89,830.29,367.18,2547,328.08,4639.6,1314.6,761.65,375,1556.1,2787.2,2415.2,354.76,869.6,1763.3,1001.1,809.56,515.83,428.65,1817.2,571.53,1055.6,660.13,727.01,Inf,8531.7,658.71,2460.6,96.677,Inf,2585.2,139.11,529.61,804.24,1566.7,616.48,681.77,1336,733.94,249.12,Inf,149.42,Inf,471.28,1601.4,4712.4,99.611,734.94,182.65,572.52,830.33,877.51,378.17,993.85,Inf,5035.9,1540.2,415.54,472.39,757,1746.9,242.46,4768.7,Inf,4587.1,73.833,784.56,1474.9,963.7,Inf,1039.5,1659.8,654.98,1031.3,Inf,397.84,500.07,486
491.29,613.75,679.44,552.35,0,299.91,366.86,418.95,3093.8,72.427,1658.4,5117.9,294.6,457.75,214.44,1775.1,679.83,315.55,108.78,536.13,2275.7,817.09,532.07,378.61,795.91,2995.2,830.44,5129.9,1758.8,443.72,876.22,1936.7,3243.8,2861.8,717.59,435.59,2225.1,594.47,1320.7,965.57,580.78,1431.5,250.01,684.08,185.64,249.75,2759.8,9008.5,141.93,2898,460.1,726.8,3029.8,617.05,257.57,1241.7,2029.2,145.97,680.4,932.41,1175.3,359.25,Inf,591.88,764.91,192.32,Inf,5214.8,622.23,328.84,724.71,284.08,337.88,589.73,236.83,542.15,447.92,5533.2,1125.6,758.34,Inf,504.14,2208.5,696.11,5254.7,857.52,5086.3,525.69,315.63,1090.7,497.83,734.07,658.43,1257.5,275.13,633.9,744.06,423.69,956.35,156.57
438.63,383.24,400.91,253.95,299.91,0,426.45,658.14,2832.7,233.32,1391,4845.9,446.31,185.77,198.22,1511.7,380.84,484.01,295.34,695.91,2013.8,543.37,716.43,597.74,562.68,2736.8,543.2,4854.7,1497.6,566.98,589.97,1699.3,2982.6,2603.8,509.74,645.5,1960.4,Inf,1046.8,697.87,401.21,Inf,359.44,860.87,415.64,483.55,Inf,8740.9,419.33,2643.7,160.24,924.39,2772.9,346.82,318.16,978.08,1763.9,371.48,587.91,1132.6,910.35,127.55,322.43,308.25,Inf,242.77,1774.4,4933.8,324.6,520.41,431.64,363.34,606.46,688.41,158.98,763.95,673.82,5254.7,1331.1,497.97,667.44,568.08,1943.8,420.86,4981.8,693.02,4806.8,245.11,544.93,1280.8,728.26,465.61,843.06,1458,442.87,829.1,474.26,261.95,Inf,Inf
762.42,Inf,663.89,628.09,366.86,426.45,0,774.77,3256.4,323.67,Inf,5261.7,648.39,Inf,455.05,1935.5,773.19,676.89,260.08,899.14,2437.6,962.95,898.91,738.42,Inf,3161.3,956.11,5266.7,1922.2,792.48,1003.1,2125.5,3406,3028.4,469.82,796.6,Inf,957.98,Inf,1120.1,Inf,1795.5,117.6,1050.8,549.26,609.98,2922.2,9159.7,333.06,3069,559.85,1090.2,3197.7,597.31,127.57,1402.6,2186.3,512.43,317.67,1292.7,1334.4,380.64,737.6,727.01,601.95,470.63,2200.2,5335.6,727.22,695.65,747.58,86.63,313.15,934.84,270.48,899.91,805.91,5661.1,1483.7,924.37,673.93,831.33,2366.5,840.87,5396.5,1090.8,5211.8,557.59,674.98,1455.9,854.5,676.75,1025.3,Inf,634.84,998.98,896.37,231.97,1109.4,452.93
588.37,1024.4,1058.9,899.03,418.95,658.14,774.77,0,Inf,485.23,1778.4,5242.8,339.1,842.06,473.48,1883.9,990.09,316.14,525.64,421.81,2381.5,1014.3,336.95,98.594,1207,3097.8,1076.2,5265,1866.1,Inf,1114.6,2031.2,3347.8,2964.4,1136,133.18,2332.6,253.12,1704.4,1113.6,998.77,1036.9,662.5,442.61,243.08,175.1,2864.5,9116.3,441.74,2997.9,802.71,354.43,3131.1,1004.3,673.74,1358.7,2138.1,287.17,1092.4,523.41,1297.3,763.84,890.53,854.31,1175.3,429.34,2131.1,5369.8,928.66,254.54,1081.6,697.22,501.84,555.63,653.41,125.64,47.562,5678.6,708.93,901.28,1307.9,536.27,2316,914.14,Inf,948.06,5236,903.25,114.58,715.97,79.725,1123.3,394.38,Inf,Inf,311.17,928.1,842.43,Inf,413.17
2616.6,Inf,2629.9,2638.2,3093.8,2832.7,3256.4,Inf,0,3044.5,1451.4,Inf,2873.5,2766.5,2879.7,1321,Inf,2889.5,Inf,2777,818.97,2296.2,2864,3101.1,2752,109.04,Inf,2300.3,1335.7,2756.9,2270.2,1167.1,150.07,234.1,2903.6,3064.7,875,2977.5,Inf,2136.3,3064.1,2797.8,3191.8,2782.8,3071.7,3108.4,334.22,5920.7,Inf,224.9,2699.1,2951.4,123.51,2687.2,3150.9,1854.8,1071.6,3046.4,3317.2,3018.3,1922.4,2877.4,2523.3,2531,2754,2901.7,1066.7,2593.4,2538.7,2948.1,2545.1,3196.1,3431.4,2642.5,2991.7,3166.8,Inf,Inf,3170.1,2337.8,2770.7,2661.7,891.36,2416.7,2338.1,2250,2425.8,2711,3120,2795.5,3193.9,2637.3,2831.2,3077.5,2906,2925,2360,3032.5,2147.5,2937.8
464.53,543.09,607.21,Inf,72.427,233.32,323.67,485.23,3044.5,0,1607.8,5065.6,326.09,385.65,166.71,1725,614.15,357.4,80.628,579.21,2226.1,763.03,586.28,442.04,725.52,2946.6,771.1,5076.4,1709,468.86,817.36,1892,3194.5,2813.2,650.82,498.63,2174.9,656.31,1248.3,914.51,517.5,1491.8,207.88,736.14,Inf,Inf,2710.4,8957.9,192.72,2850.2,392.69,788.46,2981.5,544.65,202.51,Inf,1978.8,207.5,624.38,995.29,1124.8,287.13,551.37,533.32,694.34,158.19,1980.1,5159.1,557.62,384.33,653.81,Inf,387.5,611.32,168.21,606.52,512.44,5478.5,1189,707.81,824.22,510.53,2158.3,641.15,Inf,821.08,5031.2,453.83,379.75,1149.7,563.22,661.64,713.66,1320.6,314.94,694.16,691.71,359.78,904.93,132.29
